"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
300	"Entre .I. tertre et .I. pendant"	"Par monts et par vaux,"	"Entre .I. tertre et .I. pendant"	"Par monts et par vaux"													
301	"S'en vet Renart les saus menuz."	"Renart s'en va par petits bonds."															
302	"Ses amis a bien confonduz,"	"Il a bien confondu ses amis,"															
303	"Car bien est des bacons delivre."	"il se sent tout à fait à l'aise pour les jambons."	"est des bacons delivre"	"il est hors de cause pour les jambons"													
304	"Fuiant s'en vet tot a delivre,"	"Il s'en va fuyant tout librement"															
305	"Onc ne fina et tant s'esgaie"	"sans jamais s'arrêter, et tellement il s'écarte"	"s'esgaie"	"il s'écarte du chemin"													
306	"Qu'il s'en bati en une haie,"	"du chemin, qu'il se précipite dans une haie"															
307	"Par desus une fosse oscure."	"au-dessus d'un trou obscur."															
308	"La li avint une aventure"	"Il lui arrive alors une aventure"															
309	"De qoi il li anuie et poise,"	"d'où il n'eut qu'ennuis et tourments,"	"poise"	"tourments"													
310	"Qar par ce conmença la noise"	"car c'est là que commence la querelle"															
311	"Par mal pechié et par deable"	"contre le connétable Ysengrin,"	"Par mal pechié et par deable"	"à cause d'un terrible péché digne du diable"													
312	"Vers Ysengrin le connestable."	"à cause d'un terrible péché digne du diable."															
313	"Quant il vit la chevee roge,"	"Quand il voit la roche creusée,"															
314	"Ne set que est, avant s'aproche"	"ne sachant ce que c'est, il s'en approche"															
315	"Por enquerre et pour savoir"	"pour s'informer et pour voir"	"savoir"	"voir"													
316	"S'en i avoit repost avoir."	"si on a caché quelque fortune."															
317	"Ainz n'en sot mot que il s'avale,"	"Afin d'en savoir plus il se laisse descendre,"															
318	"Lors s'en torna en mi la sale"	"et se retrouve au milieu de la grand-salle"															
319	"Dant Ysengrin son bon ami,"	"de seigneur Ysengrin son bon ami."															
320	"Qatre loviax gesant en mi"	"Il y a ses quatre louveteaux couchés au centre,"															
321	"Et ma dame Hersent la love"	"et dame Hersent la louve"															
322	"Qui ses loviax norrist et cove."	"qui nourrit et couve les louveteaux."															
323	"Novelement ert acouchie,"	"Elle a accouché nouvellement,"															
324	"A chascun donnoit sa bouchie,"	"elle donne à chacun sa tétée,"															
325	"Mes n'avoit pas son chief covert."	"mais elle n'a pas couvert sa tête."															
326	"Garda, si vit l'uis entrovert"	"Elle surveille, elle voit ainsi la porte entrouverte,"															
327	"Et la clarté qui trop li grieve."	"mais la clarté la gène trop."															
328	"Por regarder sa teste lieve"	"Elle lève sa tête pour regarder"															
329	"Por savoir qui la ert venuz."	"et savoir qui est venu là."															
330	"Renart fu grelles et menuz,"	"Renart est grêle et menu,"															
331	"Muciez estoit derier la porte,"	"il est caché derrière la porte;"															
332	"Et Hersent qui mout s'en conforte,"	"alors Hersent s'en réconforte grandement"															
333	"Le connut bien a la piau rouse."	"car elle l'a bien reconnu à son pelage roux."															
334	"Ne puet muer qu'el ne s'escosse,"	"Elle ne peut s'empêcher de s'agiter,"															
335	"Si li a dit tout en riant :"	"ainsi elle lui dit en riant:"															
336	"« Renart, qu'alez vos espiant ? »"	"« Renart, qu'avez-vous à épier ? »"															
337	"Quant Renart sot qu'il ert veüz"	"Quand Renart se rend compte qu'il est vu"															
338	"Et qu'il estoit aparceüz,"	"et qu'il est reconnu,"															
339	"Adonc fu il touz desconfiz,"	"il est alors tout déconfit,"															
340	"De honte avoir est il toz fiz."	"il est convaincu d'être couvert de honte."															
341	"N'ose mot dire, tant se doute"	"Il n'ose dire mot tant il a peur"															
342	"Que laiens ne veoit l'en goute."	"car on n'y voit goutte ici."				"x"											
343	"Et Hersent solieve le chief,"	"Hersent soulève la tête,"			8					"Le mensonge de Renart"	"2009/04/renart-et-hersent-le-mensonge-de-renart.html"	"https://2.bp.blogspot.com/-Qx3Ut5VYRnk/V-_Sl0H4rYI/AAAAAAAAHpo/FtN6L2cKHPUlMUycRgseeZVjPuyNnya_QCLcB/s320/03b-renart-dans-la-peche-baudoin.jpg"					
344	"Si le rapele de rechief"	"puis l'appelle à nouveau,"															
345	"Et acene a son gresle doit :"	"et lui fait signe de venir de son doigt mince :"															
346	"« Renart, Renart, la piau le doit"	"« Renart, Renart, on voit à votre pelage"	"la piau le doit"	"on voit à votre pelage"													
347	"Que soiez fel et deputaire."	"que vous êtes perfide et mauvais;"															
348	"Onc ne me vosistes bien faire,"	"jamais vous ne souhaitez me faire plaisir,"	"me vosistes bien faire"	"vous souhaitez me faire plaisir"													
349	"Ne ne venistes la ou g'iere."	"ni ne venez là ou je suis."															
350	"Je ne sai riens de tel compere"	"Je ne connais pas de tel compère"															
351	"Qui sa conmere ne revide. »"	"qui ne rende pas visite à sa commère. »"															
352	"Renart a grant peor et hide,"	"Renart a grand-peur, il est effrayé mais"															
353	"Ne puet muer ne li responde :"	"il ne peut s'empêcher de lui répondre :"															
354	"« Dame, fet il, Dex me confonde,"	"« Madame, fait-il, que Dieu me confonde"															
355	"S'onques por mal ne por haine"	"si jamais par méchanceté ou par haine,"															
356	"Ai eschivé vostre gesine ;"	"je vous ai évitée alors que vous étiez en couches."															
357	"Ainz i venisse volentiers."	"Je serais volontiers venu avant,"															
358	"Mes quant je vois par ces sentiers,"	"mais quand je vais par ces sentiers,"															
359	"Si m'espie dant Ysengrin"	"Seigneur Ysengrin m'épie"															
360	"Et par voie et par chemin."	"à chaque voie et à chaque chemin."															
361	"Por ce si ne sai que je face,"	"À cause de cela je ne sais quoi faire"															
362	"Tant con vostre mari me hace."	"tellement votre mari me hait :"															
363	"Mout fet grant pechié qu'i me het,"	"il commet là un grand péché que de me haïr."															
364	"Mes li mens cors mal dahez et"	"Mais que ma personne soit damnée"	"li mens cors mal dahez"	"que ma personne soit damnée"													
365	"S'onques li fis chose nisune"	"si jamais je lui ai fait la moindre chose"															
366	"Dont me deüst porter rancune."	"dont il devrait me porter rancune."															
367	"Por ce n'os vers vos reperier,"	"Pour cela je n'ose pas vous fréquenter,"															
368	"Si m'en puis mout forment irier."	"je pourrais même me mettre fortement en colère."	"Si m'en puis"	"je pourrais même"													
369	"Je vos aim, dist il, par amors,"	"Je vous aime d'amour, prétend-il,"															
370	"Si en a fait maintes clamors"	"ainsi qu'il s'en est plaint de nombreuses fois"															
371	"Par ceste terre a ses amis,"	"à ses amis dans le pays."															
372	"Et si lor a avoir pramis"	"Il leur a même promis de l'argent"	"avoir pramis"	"promis de l'argent"													
373	"Por moi fere laidure et honte."	"pour me causer du tort et me faire honte."															
374	"Mes dites moi, a moi que monte"	"Mais dites-moi, quel intérêt aurais-je"	"a moi que monte"	"quel intérêt aurais-je"													
375	"De vos requerre tel folie ?"	"à vous demander une telle folie ?"															
376	"Certes je nel feroie mie,"	"Sérieusement, je ne le ferai pas,"															
377	"Ne tel parole n'est pas bele. »"	"de tels propos ne seraient pas élégants. »"				"x"											
378	"Quant Hersent entent la novele,"	"Quand Hersent entent la nouvelle,"			9					"Le flirt"	"2009/04/renart-et-hersent-le-flirt.html"	"https://3.bp.blogspot.com/-kJPVBz06a2Y/V-_SmLXjPgI/AAAAAAAAHps/6Uu2jVus72wVozLZBjDGs0vOKh756lRiQCLcB/s320/03c-renart-et-hersent-cosyns.jpg"					
379	"De mautalent tressue et art."	"elle brûle de colère et en est couverte de sueur :"															
380	"« Conment, fet el, sire Renart,"	"« Comment, dit-elle, seigneur Renart,"															
381	"Est en dont parole tenue ?"	"est-ce donc les propos tenus ?"															
382	"Certes mar i fui mescreüe."	"Vraiment, je suis soupçonnée à tort."															
383	"Tel cuide sa honte vengier,"	"Tel s'imagine venger sa honte"															
384	"Qui acroist son grant encombrier."	"qui accroît grandement son embarras."															
385	"Ne m'est or pas honte nel die,"	"Je n'ai pas de honte à le dire maintenant :"															
386	"Onques n'i pensai vilanie."	"je n'ai jamais pensé du mal de vous."															
387	"Mes por ce qu'il s'en est clamez,"	"Mais à cause de ce qui a été clamé,"															
388	"Voil ge certes que vos m'amez,"	"je tiens fermement à ce que vous m'aimiez."															
389	"Si revenez sovent a mi,"	"Revenez donc souvent auprès de moi,"															
390	"Et ge vos tendré por ami."	"et je vous tiendrai pour ami."															
391	"Acolez moi, si me besiez."	"Prenez-moi dans les bras, embrassez-moi donc,"	"Acolez moi, si me besiez"	"Prenez-moi dans les bras, embrassez-moi donc"													
392	"Or en estes bien eesiez :"	"soyez tranquille maintenant,"															
393	"Ci n'a qui encuser nos doie. »"	"il n'y a personne ici qui puisse nous accuser. »"															
394	"Renart en demainne grant joie"	"Renart en manifeste une grande joie,"															
395	"Et vient avant si l'a besie."	"il s'approche puis l'embrasse."															
396	"Hersent a la cuisse haucie,"	"Hersent à qui ce jeu plaît beaucoup,"															
397	"A qui mout plesoit cel ator."	"lève la cuisse."	"plesoit cel ator"	"ce jeu plaît beaucoup"													
398	"Et Renart s'en ist de la tor,"	"Puis Renart sort de la tour,"															
399	"Qui crient que Ysengrin ne viengne,"	"car il craint qu'Ysengrin ne vienne,"															
400	"Et mout doute qu'il n'i sorviengne."	"et redoute fort qu'il ne l'y surprenne."	"qu'il n'i sorviengne"	"qu'il ne l'y surprenne"													
401	"Mes neporquant ainz qu'il s'en isse,"	"Néanmoins avant de sortir,"															
402	"Vient as loviaus, si les compisse"	"il va vers les louveteaux et leur pisse dessus."															
403	"Si con il erent arengié,"	"Après les avoir arrangés ainsi"	"Si con il erent arengié"	"Après les avoir arrangés ainsi"													
404	"Si a tout pris et tot mengié,"	"et leur avoir tout pris et tout mangé,"															
405	"Et gete fors quant qu'il i trouve,"	"il jette dehors tout ce qu'il trouve,"															
406	"Tote la viez char et la nove."	"toute la viande, vieille ou fraîche."															
407	"Ses a de lor lis abatuz"	"Puis il les fait tomber de leurs lits,"															
408	"Et laidengiez et bien batuz,"	"il les injurie et les bat bien fort"															
409	"Autresi con s'il fust lor mestres."	"comme si il était leur maître."															
410	"Ses clainme avostre et filastres"	"Il les traite de bâtards et d'illégitimes,"															
411	"Priveement conme celui"	"sans témoin, comme celui"	"Priveement"	"sans témoin"													
412	"Qui ne se doute de nului"	"qui ne craint personne,"															
413	"Fors que dame Hersent s'amie"	"à condition que dame Hersent son amie"															
414	"Qui ne l'en descoverra mie."	"n'en dévoile rien du tout."															
415	"Les loviax a lessiez plorant."	"Il laisse les louveteaux en pleurs."															
416	"Dame Hersent lor vint devant,"	"Dame Hersent vient alors vers eux,"															
417	"Si les a blandiz et proiez :"	"elle les caresse et les supplie:"															
418	"« Enfanz, dist ele, ne soiez"	"« Les enfants, dit-elle, ne soyez pas"															
419	"En vostre cuer si fel ne sot"	"au fond de votre cœur si impitoyables et sots"															
420	"Que vostre pere en sache mot,"	"que votre père en sache un mot."															
421	"Ne ja ne li soit conneü"	"Il ne doit jamais apprendre"															
422	"Que Renart soit çaiens venu."	"que Renart est venu ici."															
423	"— Qu'est ? deable, nos celerons"	"— Quoi ? par le diable nous devrions protéger"	"— Qu'est ? deable, nos celerons Renart"	"Quoi ? par le diable nous devrions protéger Renart"													
424	"Renart le rous, que tant haons"	"Renart le roux, que nous haïssons"															
425	"De mort, qu'avez ci receü"	"à mort, que vous avez reçu ici,"															
426	"Et nostre pere deceü,"	"avec qui vous avez trompé notre père"															
427	"Qui en vos avoit sa fiance ?"	"qui a confiance en vous ?"															
428	"Ja, se Dieu plest, tele viltance"	"Jamais, s'il plaît à Dieu, une telle infamie"															
429	"Dont nos somes si laidengié"	"où nous avons été tant injuriés"															
430	"Ne remaindra ne soit vengié. »"	"ne restera sans être vengé. »"				"x"											
431	"Renart les oï gorgocier"	"Renart les entend gronder"			10		2	"x"		"La colère d'Ysengrin"	"2009/04/renart-et-hersent-la-colere-dysengrin.html"	"https://1.bp.blogspot.com/-xqQbtkDkM08/V-_SmDQ7DdI/AAAAAAAAHpw/Q1VCoxeU4g0dC5z1-FB9XZuMcEoXnEknwCLcB/s320/03d-colere-d-ysengrin.jpg"					
432	"Et vers la mere coroucier,"	"en colère envers leur mère."															
433	"Si s'est tantost mis a la voie"	"Puis il se met aussitôt en route"															
434	"Le col bessié que nul nel voie,"	"la tête baissée pour que personne ne le voie,"															
435	"Si va porchacier son afere."	"il s'en va ainsi poursuivre ses occupations."															
436	"A tant estes vos qu'il repaire"	"Voici alors que revient"	"A tant estes vos"	"Voici alors"													
437	"Dant Ysengrin a sa mesnie"	"seigneur Ysengrin auprès des siens"	"a sa mesnie"	"auprès des siens"													
